Country,Continent
Algeria,Africa
Argentina,South America
Armenia,Europe
Australia,Oceana
Azerbaijan,Asia
Belarus,Europe
Brazil,South America
Chile,South America
China,Asia
Colombia,South America
Cyprus,Europe
Ecuador,South America
Egypt,Africa
Estonia,Europe
Georgia,Asia
Germany,Europe
Ghana,Africa
Haiti,North America
Hong Kong,Asia
India,Asia
Iraq,Asia
Japan,Asia
Jordan,Asia
Kazakhstan,Asia
Kuwait,Asia
Kyrgyzstan,Asia
Kuwait,Asia
Lebanon,Asia
Libya,Africa
Malaysia,Asia
Mexico,North America
Morocco,Africa
Netherlands,Europe
New Zealand,Oceana
Nigeria,Africa
Pakistan,Asia
Palestine,Asia
Peru,South America
Philippines,Asia
Poland,Europe
Qatar,Asia
Romania,Europe
Russia,Europe
Rwanda,Africa
Singapore,Asia
Slovenia,Europe
South Africa,Africa
South Korea,Asia
Spain,Europe
Sweden,Europe
Taiwan,Asia
Thailand,Asia
Trinidad and Tobago,North America
Tunisia,Africa
Turkey,Europe
Ukraine,Europe
United States,North America
Uruguay,South America
Uzbekistan,Asia
Yemen,Asia
Zimbabwe,Africa
